transaction_id,from_account,to_account,amount,timestamp,transaction_type,is_fraud
TXN100000,A850981,A945687,47268.94,2024-03-15 12:03:14,upi,0
TXN100001,A373903,A563246,6043.22,2024-02-18 06:59:30,rtgs,0
TXN100002,A345884,A114835,35198.38,2024-02-18 13:41:44,imps,0
TXN100003,A443939,A916232,3650.17,2024-03-24 16:03:23,transfer,0
TXN100004,A944657,A401601,3939.24,2024-01-31 09:29:02,imps,0
TXN100005,A611945,A137642,32025.08,2024-01-29 02:37:09,transfer,0
TXN100006,A386436,A923927,8635.07,2024-03-01 00:20:10,rtgs,0
TXN100007,A543481,A587213,4452.09,2024-03-22 23:47:28,transfer,0
TXN100008,A273982,A539375,26221.93,2024-02-08 10:12:11,neft,0
TXN100009,A741390,A188914,38966.94,2024-01-08 09:58:36,imps,0
TXN100010,A338533,A709805,9735.49,2024-03-16 08:44:34,neft,0
TXN100011,A155164,A803055,32289.88,2024-01-15 08:08:32,upi,0
TXN100012,A141832,A707040,8716.28,2024-01-15 20:12:44,transfer,0
TXN100013,A562236,A364659,24731.15,2024-03-14 05:59:10,imps,0
TXN100014,A706794,A699573,46211.51,2024-02-24 19:21:40,imps,0
TXN100015,A811444,A192337,15841.14,2024-02-12 16:43:17,transfer,0
TXN100016,A101206,A854377,39826.67,2024-02-27 10:06:28,transfer,0
TXN100017,A479580,A854717,23114.04,2024-01-04 15:37:52,transfer,0
TXN100018,A984642,A892495,32251.09,2024-03-24 00:58:40,transfer,0
TXN100019,A332360,A501641,23162.45,2024-02-23 19:39:02,transfer,0
TXN100020,A586819,A102805,32609.28,2024-02-01 05:12:41,imps,0
TXN100021,A589710,A189083,3140.59,2024-01-11 01:10:36,neft,0
TXN100022,A654816,A569945,32324.05,2024-01-04 19:12:27,upi,0
TXN100023,A801978,A874483,26161.26,2024-01-16 09:54:19,neft,0
TXN100024,A172792,A535020,20468.03,2024-02-02 20:27:09,imps,1
TXN100025,A964998,A425845,16765.73,2024-02-02 00:14:06,transfer,0
TXN100026,A324345,A392683,12637.19,2024-03-23 16:17:35,imps,0
TXN100027,A188914,A725380,29157.84,2024-01-14 17:33:07,neft,0
TXN100028,A839677,A261859,33123.65,2024-01-13 12:28:44,imps,0
TXN100029,A363626,A230679,27968.16,2024-03-03 11:26:52,neft,0
TXN100030,A861319,A781403,41456.5,2024-03-12 17:28:11,imps,0
TXN100031,A413058,A898207,25449.0,2024-01-02 18:28:48,neft,0
TXN100032,A656251,A323508,17119.53,2024-03-15 09:16:24,rtgs,0
TXN100033,A446479,A863587,3904.4,2024-03-22 23:39:38,transfer,0
TXN100034,A112861,A517479,36945.27,2024-02-21 02:54:27,transfer,0
TXN100035,A774591,A855948,30920.67,2024-02-27 23:41:06,rtgs,0
TXN100036,A610311,A480303,34657.64,2024-03-01 15:45:02,upi,0
TXN100037,A482554,A273061,18246.76,2024-03-10 20:45:22,upi,0
TXN100038,A283700,A772642,37631.94,2024-03-17 02:23:13,rtgs,0
TXN100039,A544151,A989208,48281.55,2024-03-17 03:42:54,rtgs,0
TXN100040,A171262,A547470,33931.43,2024-02-25 09:10:24,rtgs,0
TXN100041,A444207,A284171,19124.53,2024-02-21 05:04:13,rtgs,0
TXN100042,A663658,A185965,40072.9,2024-01-14 10:29:31,neft,1
TXN100043,A721254,A790909,18592.04,2024-01-10 23:03:05,imps,0
TXN100044,A772642,A590785,38167.69,2024-01-27 11:38:59,rtgs,0
TXN100045,A198907,A997004,21901.75,2024-03-29 09:37:49,upi,0
TXN100046,A168872,A618392,46527.07,2024-02-10 06:46:47,transfer,0
TXN100047,A768636,A629959,19339.0,2024-01-08 22:09:16,neft,0
TXN100048,A884475,A392099,4999.2,2024-03-10 09:22:53,neft,0
TXN100049,A446479,A910620,14379.63,2024-03-21 13:29:04,rtgs,0
TXN100050,A349565,A973294,35291.53,2024-02-13 13:19:01,imps,1
TXN100051,A267753,A944962,12833.4,2024-03-22 01:36:18,upi,0
TXN100052,A288803,A704238,26412.19,2024-01-11 19:05:02,neft,0
TXN100053,A891952,A816751,11960.05,2024-03-03 00:51:55,imps,0
TXN100054,A694916,A228093,45262.09,2024-02-27 22:30:09,imps,1
TXN100055,A836996,A134225,12134.81,2024-01-14 22:33:29,neft,0
TXN100056,A765620,A887443,12066.18,2024-02-10 10:40:22,upi,0
TXN100057,A112038,A326895,48733.99,2024-01-07 13:42:15,imps,0
TXN100058,A455168,A524045,27729.89,2024-02-07 21:49:23,rtgs,1
TXN100059,A167348,A980660,12719.83,2024-01-02 13:50:49,neft,0
TXN100060,A176365,A103717,36660.4,2024-03-01 23:56:41,transfer,0
TXN100061,A581894,A880841,16659.3,2024-01-05 07:18:34,neft,0
TXN100062,A139019,A608257,8795.7,2024-03-16 15:32:01,rtgs,0
TXN100063,A587455,A101206,9154.79,2024-01-14 02:13:45,transfer,0
TXN100064,A456331,A416232,1897.34,2024-01-20 13:44:27,transfer,0
TXN100065,A754644,A391476,15814.01,2024-01-31 02:31:45,imps,0
TXN100066,A221761,A293319,23696.32,2024-01-04 13:19:57,upi,0
TXN100067,A116547,A656639,2437.81,2024-03-04 15:57:53,neft,0
TXN100068,A805000,A547470,21875.72,2024-02-08 20:07:05,rtgs,0
TXN100069,A324345,A425498,48687.49,2024-02-18 04:14:14,rtgs,0
TXN100070,A229592,A301939,13372.7,2024-01-09 00:29:55,rtgs,1
TXN100071,A362529,A861894,9063.8,2024-01-29 12:31:31,neft,0
TXN100072,A563246,A502219,14817.22,2024-02-13 07:03:32,imps,0
TXN100073,A976638,A259493,22223.22,2024-02-13 09:53:15,transfer,0
TXN100074,A880758,A887443,30761.83,2024-02-12 05:29:05,neft,0
TXN100075,A807166,A248766,2915.04,2024-03-06 03:58:18,rtgs,0
TXN100076,A499534,A476395,33986.56,2024-01-04 00:33:46,upi,0
TXN100077,A495533,A626169,21936.73,2024-01-13 06:08:14,transfer,0
TXN100078,A938141,A954596,18139.42,2024-02-25 01:46:32,transfer,0
TXN100079,A437408,A427110,47443.74,2024-02-06 02:51:14,rtgs,0
TXN100080,A592738,A446479,26496.52,2024-02-08 15:29:11,neft,0
TXN100081,A672092,A152179,5716.76,2024-03-12 10:14:48,upi,0
TXN100082,A167348,A236435,28105.55,2024-01-26 09:59:01,neft,0
TXN100083,A630458,A783157,14314.57,2024-03-29 23:33:02,rtgs,0
TXN100084,A161733,A102973,3748.9,2024-01-17 18:19:06,rtgs,0
TXN100085,A835132,A344907,48379.68,2024-02-01 00:41:36,neft,0
TXN100086,A259097,A561865,14553.6,2024-01-30 02:56:58,upi,0
TXN100087,A213475,A377896,31903.12,2024-03-18 01:26:47,neft,0
TXN100088,A665492,A712024,39613.68,2024-01-23 23:38:07,rtgs,1
TXN100089,A685181,A572387,18477.11,2024-03-19 00:40:03,imps,0
TXN100090,A255539,A813328,3334.12,2024-02-08 15:46:47,rtgs,0
